guid,name,summary,start date,end date,related person 1,related person 2,related person 3,related person 4,related person 5,personal related person 1,personal related person 2,personal related person 3,related event 1,related event 2,related event 3,related event 4,related event 5,personal related event 1,personal related event 2,personal related event 3,notes,personal notes,source & license,tags
wXiY(xtcVV,Industrial Revolution,"Transition to mechanized production, steam power, and factories; massive changes in work, population, and technology.",c. 1760,c. 1840,"James Watt (1736–1819): Improved the steam engine, helping to trigger the shift to mechanized industry.","George Stephenson (1781–1848): Pioneered steam locomotives, making rail transport a hallmark of industrial change.",Isambard Kingdom Brunel (1806–1859): Engineered railways and bridges that became icons of industrial engineering.,,,,,,Expansion of Railways (1830–1870): Railway construction was a major outcome and driver of industrialization.,Second Industrial Revolution (1870–1914): Built upon earlier industrial changes with new technologies and industries.,"American Civil War (1861–1865): Industrial capacity, especially in the North, shaped the course of the conflict.",,,,,,"Child labor laws, public health reforms, and modern labor movements all emerged as direct responses to industrial society’s problems.",,ChatGPT 5.1,
OTfFrU^?wV,Napoleonic Wars,A series of major European conflicts led by Napoleon’s French Empire against various coalitions.,1803,1815,Napoleon Bonaparte (1769–1821): Led France in a series of campaigns that reshaped Europe.,"Arthur Wellesley, Duke of Wellington (1769–1852): Commanded British and allied forces, defeating Napoleon at Waterloo.",Tsar Alexander I (1777–1825): Allied against Napoleon and played a key role in his eventual defeat.,,,,,,French Revolution (1789–1799): The wars grew out of the revolutionary upheavals in France.,Peninsular War (1808–1814): One of the major campaigns of the broader Napoleonic conflict.,Congress of Vienna (1814–1815): Settlement that ended the wars and reshaped Europe.,,,,,,"These wars dramatically redrew Europe’s borders and spread Napoleonic legal reforms far beyond France. They also accelerated nationalism in Germany, Italy, and Spain.",,ChatGPT 5.1,
DtyZq5U9Rq,Revolutions of 1848,"A wave of liberal, nationalist, and democratic uprisings across Europe, often called the “Springtime of Nations.”",1848,1849,Karl Marx (1818–1883): Observed the revolutions and developed his revolutionary critique of capitalism around this period.,Louis Blanc (1811–1882): French socialist whose ideas influenced the Parisian uprising of 1848.,"Lajos Kossuth (1802–1894): Led the Hungarian revolution, one of the major uprisings of 1848.",,,,,,Second French Republic (1848–1852): Established in France as a direct result of the 1848 uprising.,Unification of Germany (1864–1871): Nationalist sentiments from 1848 later culminated in unification.,Unification of Italy (Risorgimento) (1848–1871): Italian uprisings in 1848 became part of the broader unification struggle.,,,,,,"Although most uprisings failed, they left lasting legacies: constitutional reforms, abolition of serfdom in the Habsburg Empire, and political momentum for later national unifications.",,ChatGPT 5.1,
bZgXHup$Vt,Unification of Germany,"The process, driven largely by Prussia, that united numerous German states into the German Empire.",1864,1871,Otto von Bismarck (1815–1898): Orchestrated political and military moves that unified the German states.,Helmuth von Moltke the Elder (1800–1891): Directed Prussian military campaigns crucial to unification.,Wilhelm I of Prussia/Germany (1797–1888): Became the first German Emperor after unification.,,,,,,Austro-Prussian War (1866): Prussian victory weakened Austria and advanced unification.,Franco-Prussian War (1870–1871): Final conflict that rallied German states and produced the empire.,"Revolutions of 1848 (1848–1849): Earlier, failed attempts at German unity influenced later strategies.",,,,,,"The empire was proclaimed in the Hall of Mirrors at Versailles, symbolically asserting German dominance after defeating France. This unification shifted Europe’s power balance for decades.",,ChatGPT 5.1,
uD)3Z(]g4,American Civil War,"A major conflict in the United States between the Union and the Confederacy, primarily over slavery and states’ rights; it reshaped global views on democracy, warfare, and emancipation.",1861,1865,Abraham Lincoln (1809–1865): Led the Union and made abolition of slavery a central war aim.,Ulysses S. Grant (1822–1885): Union general whose victories were decisive in winning the war.,Robert E. Lee (1807–1870): Commanded the main Confederate army and shaped the conflict’s military course.,,,,,,Industrial Revolution (c. 1760–c. 1840): Industrialization created economic and social divisions between North and South.,Expansion of Railways (1830–1870): Rail networks played a crucial role in troop and supply movements.,Second Industrial Revolution (1870–1914): Postwar growth accelerated industrial and technological change.,,,,,,"European powers—especially Britain and France—considered recognizing the Confederacy but ultimately stayed neutral. The war accelerated technological warfare developments like ironclads, rail logistics, and rapid telegraph communication.",,ChatGPT 5.1,
wu8I<wCf$X,French Revolution,Political and social upheaval that ended the French monarchy and reshaped Europe.,1789,1799,Napoleon Bonaparte (1769–1821): Rose to prominence as a military leader in the revolutionary wars.,Louis Blanc (1811–1882): Later interpreted and wrote about the Revolution in the context of social justice.,Karl Marx (1818–1883): Analyzed the Revolution as a key example of class struggle.,,,,,,Napoleonic Wars (1803–1815): Revolutionary France’s conflicts evolved into the Napoleonic Wars.,Congress of Vienna (1814–1815): Aimed to restore order after the revolutionary and Napoleonic era.,Paris Commune (1871): Later radical movements in Paris drew on revolutionary traditions.,,,,,,Introduced radical reforms and inspired revolutionary movements worldwide.,,ChatGPT 5.1,
dEQz3e8<~M,Congress of Vienna,Diplomatic conference to restore European order after the Napoleonic Wars.,1814,1815,Tsar Alexander I (1777–1825): One of the leading monarchs who redrew Europe’s map after Napoleon.,"Arthur Wellesley, Duke of Wellington (1769–1852): Represented British interests at the peace negotiations.",Ludwig van Beethoven (1770–1827): Lived in Vienna and composed works reflecting the era of Napoleonic conflict.,,,,,,Napoleonic Wars (1803–1815): The congress was convened to settle the outcome of the wars.,Revolutions of 1848 (1848–1849): The conservative order created in Vienna was challenged by later revolutions.,Crimean War (1853–1856): Rivalries within the Vienna system contributed to later great-power conflicts.,,,,,,Established a balance-of-power system that shaped Europe for decades.,,ChatGPT 5.1,
i#?*IF]#=y,Peninsular War,"Conflict in Iberia against Napoleon, involving Spain, Portugal, and Britain.",1808,1814,Napoleon Bonaparte (1769–1821): Ordered the invasion of the Iberian Peninsula in his struggle with Britain.,"Arthur Wellesley, Duke of Wellington (1769–1852): Led British forces in Spain and Portugal against Napoleon.",Ludwig van Beethoven (1770–1827): Reacted artistically to the anti-Napoleonic struggle in works like “Wellington’s Victory”.,,,,,,Napoleonic Wars (1803–1815): Fought as part of the wider struggle between Napoleon and his enemies.,French Invasion of Russia (1812): Another major campaign that strained Napoleon’s resources.,Congress of Vienna (1814–1815): Diplomats later addressed the consequences of these campaigns.,,,,,,A major drain on French resources and a turning point against Napoleon.,,ChatGPT 5.1,
P!g&_%i*G&,French Invasion of Russia,"Napoleon’s failed campaign into Russia, marked by massive losses.",1812,,Napoleon Bonaparte (1769–1821): Launched the ill-fated invasion that devastated his Grande Armée.,Tsar Alexander I (1777–1825): Defended the Russian Empire against Napoleon’s invasion.,Ludwig van Beethoven (1770–1827): Symbolized European resistance to Napoleon in his later patriotic works.,,,,,,Napoleonic Wars (1803–1815): One of the decisive turning points of the war.,Peninsular War (1808–1814): Coincided with other costly campaigns that weakened France.,Congress of Vienna (1814–1815): The invasion’s failure led eventually to the peace negotiations.,,,,,,The disastrous retreat severely weakened France’s military power.,,ChatGPT 5.1,
zJ4%|1KRN4,Austro-Prussian War,Conflict between Austria and Prussia for dominance in Germany.,1866,,Otto von Bismarck (1815–1898): Engineered the conflict to exclude Austria from German affairs.,Helmuth von Moltke the Elder (1800–1891): Planned and executed Prussian military strategy in the war.,Wilhelm I of Prussia/Germany (1797–1888): Prussian king under whom victory paved the way to German unification.,,,,,,Unification of Germany (1864–1871): Cleared the way for Prussian leadership of Germany.,Franco-Prussian War (1870–1871): Follow-up conflict that finalized unification.,Revolutions of 1848 (1848–1849): Earlier struggles influenced nationalist rivalries between Austria and Prussia.,,,,,,Paved the way for Prussian leadership in German unification.,,ChatGPT 5.1,
