"guid","name","summary","start date","end date","related person 1","related person 2","related person 3","related person 4","related person 5","personal related person 1","personal related person 2","personal related person 3","related event 1","related event 2","related event 3","related event 4","related event 5","personal related event 1","personal related event 2","personal related event 3","notes","personal notes","source & license","tags"
"p*e/-Ey0[x","Age of Enlightenment","Intellectual movement emphasizing reason, science, and individual rights over tradition and religious authority; philosophers like Voltaire, Locke, and Rousseau challenged absolutism and laid foundations for modern democracy","1687","1789","Johann Wolfgang von Goethe (1749–1832): Embodied Enlightenment ideals through his literary and scientific works.","","","","","","","","Classical period (music) (1750–1820): Musical style reflected Enlightenment values of balance and rational form.","French Revolution (1789–1799): Revolutionary ideals drew heavily from Enlightenment philosophy about rights and reason.","Napoleonic Wars (1803–1815): Post-Enlightenment conflicts tested and spread Enlightenment political ideas.","","","","","","Key ideas: natural rights, separation of powers, social contract, religious tolerance. Major centers: France (philosophes), Scotland (Scottish Enlightenment), Germany (Aufklärung). The movement's dates are often marked from Newton's Principia (1687) to the French Revolution (1789).","","Claude Sonnet 4.5","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"uD)3Z(]g4","American Civil War","A major conflict in the United States between the Union and the Confederacy, primarily over slavery and states’ rights; it reshaped global views on democracy, warfare, and emancipation.","1861","1865","Abraham Lincoln (1809–1865): Led the Union and made abolition of slavery a central war aim.","Robert E. Lee (1807–1870): Commanded the main Confederate army and shaped the conflict’s military course.","Ulysses S. Grant (1822–1885): Union general whose victories were decisive in winning the war.","","","","","","Expansion of Railways (1830–1870): Rail networks played a crucial role in troop and supply movements.","Industrial Revolution (c. 1760–c. 1840): Industrialization created economic and social divisions between North and South.","Second Industrial Revolution (1870–1914): Postwar growth accelerated industrial and technological change.","","","","","","European powers—especially Britain and France—considered recognizing the Confederacy but ultimately stayed neutral. The war accelerated technological warfare developments like ironclads, rail logistics, and rapid telegraph communication.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::North_America"
"q1`%l#|GH#","Appomattox Campaign","Final military campaign of the Civil War ending with Lee's surrender to Grant at Appomattox Court House; marked the effective end of the war.","1865","","Andrew Johnson (1808–1875): President who formally declared the war's end on August 20, 1866.","Robert E. Lee (1807–1870): Confederate general who surrendered the Army of Northern Virginia.","Ulysses S. Grant (1822–1885): Union general who commanded forces and accepted Lee's surrender.","","","","","","American Civil War (1861–1865): This campaign was the final phase of the war.","Emancipation Proclamation (Proclamation 95) (1863): The surrender secured the proclamation's promise.","Thirteenth Amendment to the US Constitution (1865): Surrender enabled the amendment's ratification.","","","","","","Campaign ran March 29–April 9, 1865. Included battles at Five Forks (April 1) and Sailor's Creek (April 6). Lee surrendered to Grant on April 9, 1865 at Appomattox Court House. Generous terms allowed Confederate soldiers to return home if they pledged to end fighting. War formally declared ended by President Johnson on August 20, 1866.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::North_America"
"z;m~=.c*3i","Assassination of Alexander II","Revolutionary terrorists from Narodnaya Volya assassinated Tsar Alexander II with bombs in St. Petersburg; marked the high point of Russian revolutionary terrorism and end of reform era.","1881","","Alexander II of Russia (1818–1881): Tsar killed by second bomb after exiting damaged carriage.","Alexander III of Russia (1845–1894): brought to power and shaped his reactionary policies","","","","","","","Emancipation of the Serfs (1861): His major reform that failed to satisfy revolutionaries.","Russo-Turkish War (1877–1878): Recent conflict he led.","Victorian Era (1837–1901): Contemporary period.","","","","","","Occurred March 13, 1881 in St. Petersburg. First bomb by Nikolai Rysakov damaged imperial carriage. When Alexander exited to check wounded, Ignacy Hryniewiecki threw second bomb at his feet, fatally wounding both himself and the Tsar. Six conspirators including organizer Sophia Perovskaya were executed April 15, 1881. Assassination planned by Narodnaya Volya (People's Will) revolutionary group hoping to spark revolution.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"b(QWS}0L-?","Assassination of Archduke Franz Ferdinand","Austro-Hungarian heir Franz Ferdinand and his wife Sophie assassinated in Sarajevo by Bosnian Serb student Gavrilo Princip; triggered July Crisis and outbreak of World War I.","1914","","Archduke Franz Ferdinand of Austria (1863–1914): Archduke and heir presumptive to Austro-Hungarian throne, assassinated with his wife.","","","","","","","","Austro-Hungarian Compromise (1867): Established the dual monarchy that Franz Ferdinand would have inherited.","Scramble for Africa (1881–1914): Period of imperial competition that contributed to European tensions.","Victorian Era (1837–1901): Late Victorian era context of European power politics.","","","","","","Occurred June 28, 1914 in Sarajevo. Princip was 19-year-old member of Young Bosnia seeking to free Bosnia from Austrian rule. Chauffeur took wrong turn, stopped and reversed, giving Princip opportunity to shoot both Franz Ferdinand and Sophie at point-blank range. Set off July Crisis leading to World War I outbreak within one month. Princip sentenced to 20 years (too young for death penalty), died of tuberculosis in prison 1918.","","Claude Sonnet 4.5","UH::Period::20th_Century, UH::Region::Europe"
"rq|k3)-ift","Austro-Hungarian Compromise","Agreement establishing the Dual Monarchy of Austria-Hungary, granting Hungary full internal autonomy while maintaining single state for war and foreign affairs.","1867","","Ferenc Deák (1803–1876): Hungarian statesman who negotiated the compromise.","Franz Joseph I of Austria (1830–1916): Emperor who agreed to the compromise and was crowned King of Hungary on June 8, 1867.","Gyula Andrássy (1823–1890): Hungarian political leader who helped negotiate and became first Prime Minister of Hungary under the Dual Monarchy.","","","","","","Austro-Prussian War (1866): Austria's defeat weakened its position and made compromise with Hungary necessary.","Hungarian Revolution of 1848–1849 (1848–1849): The compromise ended absolutist rule imposed after this failed revolution.","Victorian Era (1837–1901): Contemporary period.","","","","","","Concluded February 8, 1867. Created dual monarchy where Austria and Hungary were equal partners under one monarch. Hungary gained full internal autonomy with responsible ministry. Franz Joseph crowned King of Hungary June 8, 1867. According to Franz Joseph: ""There were three of us who made the agreement: Deák, Andrássy and myself.""","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"zJ4%|1KRN4","Austro-Prussian War","Conflict between Austria and Prussia for dominance in Germany.","1866","","Helmuth von Moltke the Elder (1800–1891): Planned and executed Prussian military strategy in the war.","Otto von Bismarck (1815–1898): Engineered the conflict to exclude Austria from German affairs.","Wilhelm I (1797–1888): Prussian king under whom victory paved the way to German unification.","","","","","","Franco-Prussian War (1870–1871): Follow-up conflict that finalized unification.","Revolutions of 1848 (1848–1849): Earlier struggles influenced nationalist rivalries between Austria and Prussia.","Unification of Germany (1866–1871): Cleared the way for Prussian leadership of Germany.","","","","","","Paved the way for Prussian leadership in German unification.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"hIP`/;.Jaw","Battle of Trafalgar","Decisive British naval victory over combined French-Spanish fleet; established British naval supremacy for over a century but resulted in Admiral Nelson's death.","1805","","Horatio Nelson, 1st Viscount Nelson (1758–1805): British admiral who commanded the Royal Navy fleet and died during the battle.","Napoleon Bonaparte (1769–1821): French emperor whose planned invasion of Britain depended on winning naval control.","","","","","","","Congress of Vienna (1814–1815): Post-Napoleonic settlement.","French Invasion of Russia (1812): Napoleon's later major campaign.","Napoleonic Wars (1803–1815): Trafalgar was a decisive naval battle of the wars.","","","","","","Fought October 21, 1805 off Cape Trafalgar, Spain. British fleet of 27 ships defeated Franco-Spanish fleet of 33 ships. Nelson's innovative tactics broke enemy line at right angles. Nelson killed by French musketeer during battle. Franco-Spanish lost 19-20 ships and 14,000 men; British lost no ships, 1,500 casualties. Ended Napoleon's invasion plans and secured British naval supremacy.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"PyDN_THI&f","Battle of Waterloo","Napoleon's final defeat by Wellington and Blücher; ended the Hundred Days and the Napoleonic Wars.","1815","","Arthur Wellesley, 1st Duke of Wellington (1769–1852): Commanded the allied army that defeated Napoleon.","Gebhard Leberecht von Blücher (1742–1819): Led the Prussian army whose arrival turned the tide of battle.","Napoleon Bonaparte (1769–1821): Led French forces in his final battle before second abdication and exile.","","","","","","Congress of Vienna (1814–1815): The post-war settlement was ongoing when Waterloo was fought.","French Revolution (1789–1799): The wars grew out of revolutionary France.","Napoleonic Wars (1803–1815): The Battle of Waterloo was the final battle of the Napoleonic Wars.","","","","","","Fought on June 18, 1815. Napoleon's delay waiting for dry ground allowed Prussian reinforcements to arrive, sealing his defeat.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"f5s4mei:xy","Classical period (music)","Era of classical music falling between the Baroque and Romantic periods.","1750","1820","Joseph Haydn (1732–1809): Prolific composer whose symphonies and string quartets helped define the classical style.","Ludwig van Beethoven (1770–1827): Bridged the Classical and Romantic periods with his innovative compositions.","","","","","","","Age of Enlightenment (1687–1789): The intellectual movement that shaped classical music's emphasis on clarity and order.","Napoleonic Wars (1803–1815): Occurred during the late Classical period and influenced composers like Beethoven.","","","","","","","The best-known composers from this period are Joseph Haydn, Wolfgang Amadeus Mozart, Ludwig van Beethoven, and Franz Schubert.","","Claude Sonnet 4.5","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
