"guid","name","known for","date of birth","date of death","picture","related person 1","related person 2","related person 3","related person 4","related person 5","personal related person 1","personal related person 2","personal related person 3","related event 1","related event 2","related event 3","related event 4","related event 5","personal related event 1","personal related event 2","personal related event 3","notes","personal notes","source & license","tags"
"G,Ig;XAg{@","Abdul Hamid II","Ottoman sultan; ruled for 33 years; known for authoritarianism and losing territory in Russo-Turkish War.","1842","1918","<img src=""uh_abdul-hamid-ii.png"">","Alexander III of Russia (1845–1894): Russian tsar whose empire defeated Abdul Hamid's forces in the Russo-Turkish War","Otto von Bismarck (1815–1898): German chancellor who mediated at Congress of Berlin following Ottoman defeat","Queen Victoria (1819–1901): British monarch whose government intervened at Congress of Berlin to limit Ottoman losses","","","","","","Congress of Berlin (1878): diplomatic conference where European powers redrew Ottoman borders after Russian victory","Russo-Turkish War (1877–1878): devastating conflict in which the Ottomans lost territory and international standing","","","","","","","Became sultan in 1876. Initially promised constitutional reforms but suspended parliament in 1878 and ruled autocratically for 30 years. Lost significant territory in Balkans to Russia and newly independent states. Survived despite Ottoman decline through playing European powers against each other. Deposed in 1909 by Young Turk revolution.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Abdul_Hamid_II#/media/File:Sultan_Gazi_Abdül_Hamid_II.png"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Asia"
"Kr=AP_djuP","Abraham Lincoln","US President during the Civil War; abolished slavery","1809","1865","<img alt=""Portrait of a bearded Abraham Lincoln showing his head and shoulders"" src=""uh_abraham-lincoln.jpg"">","Stephen A. Douglas (1813–1861): political rival whose debates with Lincoln shaped national discourse on slavery","Ulysses S. Grant (1822–1885): Union general whose military successes Lincoln relied on to win the Civil War","William H. Seward (1801–1872): secretary of state and close political partner throughout Lincoln’s presidency","","","","","","American Civil War (1861–1865): central conflict of Lincoln’s presidency and the struggle to preserve the Union","Emancipation Proclamation (Proclamation 95) (1863): landmark wartime measure through which Lincoln redefined the war’s purpose around ending slavery","Thirteenth Amendment to the US Constitution (1865): constitutional abolition of slavery that Lincoln championed in his final months","","","","","","Guided the Union through civil war and issued the Emancipation Proclamation.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Abraham_Lincoln#/media/File:Abraham_Lincoln_1863_Portrait_(3x4_cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::North_America"
"Na!;mzgW|.","Alexander I of Russia","Emperor of Russia; key opponent of Napoleon","1777","1825","<img src=""uh_alexander-i-of-russia.jpg"">","Klemens von Metternich (1773–1859): Austrian statesman who worked with Alexander in the coalition diplomacy against Napoleon","Mikhail Kutuzov (1745–1813): Russian field marshal whose strategy during the 1812 invasion aligned with Alexander’s aims","Napoleon Bonaparte (1769–1821): rival-turned-ally-turned-opponent whose conflicts with Russia shaped Alexander’s reign","Nicholas I of Russia (1796–1855): brother who succeeded him after his death","","","","","Congress of Vienna (1814–1815): major diplomatic gathering where Alexander shaped the post-Napoleonic European order","French Invasion of Russia (1812): turning-point campaign in which Alexander’s resistance led to Napoleon’s collapse","","","","","","","Balanced between liberal ideas and autocratic rule; oversaw Russia’s vast expansion.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Alexander_I_of_Russia#/media/File:Alexander_I_of_Russia_by_G.Dawe_(1826,_Peterhof)-crop.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Asia"
"n}]mA>V<o!","Alexander II of Russia","Tsar who emancipated the serfs","1818","1881","<img alt=""Black-and-white photograph of Alexander in his 60s"" src=""uh_alexander-ii-of-russia.jpg"">","Alexander III of Russia (1845–1894): son and successor whose more conservative reign reacted against Alexander II’s reforms","Nicholas I of Russia (1796–1855): father who shaped his early conservative views","Nikolai Milyutin (1818–1872): reform-minded statesman who helped design Alexander II’s landmark emancipation measures","Otto von Bismarck (1815–1898): Prussian statesman with whom Alexander II navigated shifting alliances in European diplomacy","","","","","Emancipation of the Serfs (1861): transformative reform initiated by Alexander II to modernize Russia’s social structure","Russo-Turkish War (1877–1878): major conflict waged under Alexander II that expanded Russian influence in the Balkans","","","","","","","Reformer known as the 'Tsar Liberator'; assassinated by radicals.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Alexander_II_of_Russia#/media/File:Zar_Alexander_II_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Asia"
"N=!GKUlcj*","Alexander III of Russia","Conservative Russian tsar who reversed his father's liberal reforms; strengthened autocracy and pursued Russification policies; maintained peace in Europe through the Franco-Russian Alliance","1845","1894","<img src=""uh_alexander-iii-of-russia.jpg"">","Alexander II of Russia (1818–1881): father whose assassination brought Alexander III to power and shaped his reactionary policies","Konstantin Pobedonostsev (1827–1907): conservative advisor who guided Alexander III's autocratic governance","Nicholas II of Russia (1868–1918): son and successor whose reign would end in revolution","","","","","","Assassination of Alexander II (1881): event that traumatized Alexander III and led him to abandon reformist policies","Second Industrial Revolution (1870–1914): promoted Russian industrialization through protective tariffs and initiated the Trans-Siberian Railway in 1891","","","","","","","Strengthened autocracy and pursued nationalist policies; set stage for later revolutionary tensions.","","Claude Sonnet 4.5<br><br>Image:&nbsp;https://en.wikipedia.org/wiki/Alexander_III_of_Russia#/media/File:Tsar_Alexander_III_c._1885.jpg<br>Public domain","UH::Period::19th_Century, UH::Region::Asia"
"thK63[ZW.T","Alexandre Auguste Ledru-Rollin","French lawyer, politician, and journalist; leader of left-wing republicans; Minister of the Interior in 1848 provisional government.","1807","1874","<img src=""uh_alexandre-auguste-ledru-rollin.png"">","Alphonse de Lamartine (1790–1869): fellow member of provisional government and moderate who competed with Ledru-Rollin for influence over the revolution's direction","Lajos Kossuth (1802–1894): Hungarian revolutionary and colleague in exile on the revolutionary committee of Europe in London","Louis Blanc (1811–1882): fellow left-wing member of provisional government and advocate for workers' rights","","","","","","Revolutions of 1848 (1848–1849): revolutionary wave in which Ledru-Rollin emerged as a leading figure in France's uprising","Second French Republic (1848–1852): regime in which Ledru-Rollin served as Minister of the Interior in the provisional government","","","","","","","Co-founded <i>La Réforme</i> newspaper (1845), the main left-wing republican Paris newspaper. Introduced universal male suffrage for local and parliamentary elections. Ran for president in 1848, receiving about 5%. Escaped to London after failed 1849 uprising; returned to France in 1870 after twenty years of exile.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Alexandre_Auguste_Ledru-Rollin#/media/File:Ledru-Rollin_Oval.png"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"uSoX0;$6W]","Alexandre Dumas","French novelist and playwright; author of <i>The Three Musketeers</i> and <i>The Count of Monte Cristo</i>; leading figure of French Romanticism.","1802","1870","<img alt=""Dumas in 1855"" src=""uh_alexandre-dumas.jpg"">","Napoleon Bonaparte (1769–1821): military leader whose era influenced Dumas's historical novels; Dumas's father served as general under Napoleon","Victor Hugo (1802–1885): contemporary and fellow leader of French Romanticism who shared literary circles with Dumas","","","","","","","French Revolution (1789–1799): upheaval that shaped the political context and themes of Dumas's historical novels","","","","","","","","One of the most prolific and popular French authors; his works helped shape the modern adventure genre. In 2002, his ashes were re-interred at the Panthéon by President Chirac in recognition of his literary legacy.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Alexandre_Dumas#/media/File:Alexander_Dumas_père_par_Nadar_-_Google_Art_Project.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"kFZsSB}9U1","Alfred Russel Wallace","Naturalist; co-discoverer of natural selection","1823","1913","<img src=""uh_alfred-russel-wallace.jpg"">","Charles Darwin (1809–1882): scientific counterpart whose parallel theory of natural selection prompted joint publication","Charles Lyell (1797–1875): influential geologist who helped bring Wallace’s work to Darwin’s attention","Thomas Henry Huxley (1825–1895): evolutionary advocate who supported Wallace and Darwin’s ideas in public debates","","","","","","","","","","","","","","Conducted major fieldwork in the Malay Archipelago; pioneer of biogeography.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Alfred_Russel_Wallace#/media/File:Alfred-Russel-Wallace-c1895.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"C6`gm5w?</","Alphonse de Lamartine","French Romantic poet and statesman; leading figure in the 1848 Revolution; head of provisional government; defended the tricolor flag.","1790","1869","<img src=""uh_alphonse-de-lamartine.png"">","Alexandre Auguste Ledru-Rollin (1807–1874): fellow member of provisional government and radical republican who competed with Lamartine for influence","Louis Blanc (1811–1882): socialist member of provisional government who advocated for workers' rights and government employment programs","Napoleon III (1808–1873): Louis Napoleon Bonaparte who defeated Lamartine in the 1848 presidential election","","","","","","Revolutions of 1848 (1848–1849): wave of revolutionary upheaval in which Lamartine was a leading figure in France","Second French Republic (1848–1852): regime in which Lamartine served as head of provisional government and Foreign Minister","","","","","","","Established as leading Romantic poet with <i>Méditations poétiques</i> (1820). Led efforts resulting in abolition of slavery and death penalty, and universal male suffrage. Famously defended tricolor against those wanting the red flag. Received fewer than 19,000 votes in 1848 presidential election.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Alphonse_de_Lamartine#/media/File:Lamartine_par_Ary_Scheffer.png"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"bZ[QUP;*!N","Andrew Johnson","17th U.S. president; succeeded Lincoln after assassination; impeached but acquitted; opposed Reconstruction.","1808","1875","<img alt=""Monochrome photograph of the upper body of Andrew Johnson"" src=""uh_andrew-johnson.jpg"">","Abraham Lincoln (1809–1865): president Johnson served as vice president; succeeded after Lincoln's assassination","Ulysses S. Grant (1822–1885): general who broke with Johnson over Reconstruction policy and succeeded him as president","William H. Seward (1801–1872): Secretary of State who continued serving under Johnson and supported him during impeachment","","","","","","American Civil War (1861–1865): conflict during which Johnson served as military governor of Tennessee and then vice president","Thirteenth Amendment to the US Constitution (1865): abolition of slavery ratified during Johnson's presidency but which he had opposed","","","","","","","Only Southern senator to remain loyal to Union in 1861. Became Lincoln's vice president in 1865 and president after assassination. Clashed with Radical Republicans over Reconstruction, vetoing civil rights legislation. Impeached by House in 1868 for violating Tenure of Office Act; acquitted by Senate by one vote. His lenient approach to former Confederates undermined protection of freed slaves.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Andrew_Johnson#/media/File:Andrew_Johnson_photo_portrait_head_and_shoulders,_c1870-1880-Edit1.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::North_America"
